Start,Finish,Distance (km),Steps (count)
05-Sep-2017 00:00,06-Sep-2017 00:00,4.54187000000826,8539.0
06-Sep-2017 00:00,07-Sep-2017 00:00,4.04775000001304,7565.0
07-Sep-2017 00:00,08-Sep-2017 00:00,5.40219000001368,9986.0
08-Sep-2017 00:00,09-Sep-2017 00:00,6.9311600000069,12633.0
09-Sep-2017 00:00,10-Sep-2017 00:00,10.1282861868106,16036.0
10-Sep-2017 00:00,11-Sep-2017 00:00,9.36885393189243,16593.0
11-Sep-2017 00:00,12-Sep-2017 00:00,9.4648392510789,14809.0
12-Sep-2017 00:00,13-Sep-2017 00:00,7.91893982127099,12913.0
13-Sep-2017 00:00,14-Sep-2017 00:00,5.86044000001368,10773.0
14-Sep-2017 00:00,15-Sep-2017 00:00,10.4855790508492,18695.0
15-Sep-2017 00:00,16-Sep-2017 00:00,6.12515000001388,11486.0
16-Sep-2017 00:00,17-Sep-2017 00:00,1.67067000000179,3112.0
17-Sep-2017 00:00,18-Sep-2017 00:00,7.46122000000835,13173.0
18-Sep-2017 00:00,19-Sep-2017 00:00,5.47212000000337,9839.0
19-Sep-2017 00:00,20-Sep-2017 00:00,9.72466084687412,14569.0
20-Sep-2017 00:00,21-Sep-2017 00:00,6.46400478292839,10722.0
21-Sep-2017 00:00,22-Sep-2017 00:00,7.67990000000387,12555.0
22-Sep-2017 00:00,23-Sep-2017 00:00,10.2211756163705,16139.0
23-Sep-2017 00:00,24-Sep-2017 00:00,8.50712884706631,14107.0
24-Sep-2017 00:00,25-Sep-2017 00:00,2.33314000001038,4399.0
25-Sep-2017 00:00,26-Sep-2017 00:00,5.45317000001227,9517.0
