In bed start,In bed Finish,Minutes in bed,Minutes asleep,Time to fall sleep,Number of sleep periods
03-Sep-2017 23:09,04-Sep-2017 06:00,410.414742533366,0.0,0.0,0
04-Sep-2017 23:12,05-Sep-2017 06:00,408.117523966233,0.0,0.0,0
05-Sep-2017 23:08,06-Sep-2017 06:00,411.518106733759,0.0,0.0,0
06-Sep-2017 23:29,07-Sep-2017 06:00,390.544348500172,0.0,0.0,0
07-Sep-2017 23:22,08-Sep-2017 06:00,397.369421366851,0.0,0.0,0
08-Sep-2017 23:27,09-Sep-2017 00:50,83.2666666666667,0.0,0.0,0
09-Sep-2017 00:51,09-Sep-2017 06:00,308.485662650069,0.0,0.0,0
10-Sep-2017 05:29,10-Sep-2017 06:00,31.1103228996197,0.0,0.0,0
10-Sep-2017 23:33,11-Sep-2017 06:00,386.6409672002,0.0,0.0,0
11-Sep-2017 23:00,12-Sep-2017 01:05,125.333333333333,0.0,0.0,0
12-Sep-2017 01:05,12-Sep-2017 06:00,294.679917616645,0.0,0.0,0
12-Sep-2017 23:00,13-Sep-2017 06:00,420.226371333003,0.0,0.0,0
13-Sep-2017 23:27,14-Sep-2017 00:48,80.6,0.0,0.0,0
14-Sep-2017 00:48,14-Sep-2017 00:52,3.73333333333333,0.0,0.0,0
14-Sep-2017 00:52,14-Sep-2017 06:00,307.308339816332,0.0,0.0,0
14-Sep-2017 23:06,15-Sep-2017 06:00,413.385038399696,0.0,0.0,0
15-Sep-2017 23:44,16-Sep-2017 06:00,375.467116199931,0.0,0.0,0
16-Sep-2017 23:00,17-Sep-2017 06:09,429.270368850231,0.0,0.0,0
18-Sep-2017 00:05,18-Sep-2017 06:09,363.45525445044,0.0,0.0,0
18-Sep-2017 23:00,19-Sep-2017 06:00,420.533333333333,0.0,0.0,0
19-Sep-2017 06:00,19-Sep-2017 06:09,8.55108056664467,0.0,0.0,0
19-Sep-2017 23:00,20-Sep-2017 06:00,420.130911800265,0.0,0.0,0
20-Sep-2017 23:29,21-Sep-2017 06:00,390.691679883003,0.0,0.0,0
21-Sep-2017 23:55,22-Sep-2017 06:36,401.244375750422,0.0,0.0,0
23-Sep-2017 00:05,23-Sep-2017 06:00,354.688300016522,0.0,0.0,0
23-Sep-2017 23:00,24-Sep-2017 06:00,420.159247049689,0.0,0.0,0
24-Sep-2017 23:00,25-Sep-2017 06:09,429.442868900299,0.0,0.0,0
25-Sep-2017 23:17,26-Sep-2017 06:00,402.681758600473,0.0,0.0,0
27-Sep-2017 00:22,27-Sep-2017 06:00,338.036966283123,0.0,0.0,0
27-Sep-2017 23:18,28-Sep-2017 06:00,401.4,0.0,0.0,0
28-Sep-2017 06:00,28-Sep-2017 06:18,18.1026626169682,0.0,0.0,0
28-Sep-2017 23:00,29-Sep-2017 06:00,420.346319783727,0.0,0.0,0
29-Sep-2017 23:00,30-Sep-2017 06:00,420.145868800084,0.0,0.0,0
30-Sep-2017 23:00,01-Oct-2017 06:00,420.284864217043,0.0,0.0,0
